candidate_id,rank,score,reasoning
CAND_0071974,1,0.8112,"Clear alignment on 8 JD requirements, notably retrieval, elasticsearch, bm25. The technical stack includes elasticsearch, bm25, which aligns with JD needs."
CAND_0002025,2,0.7821,"Directly relevant skill set spanning python, retrieval, faiss and 5 other JD requirements. Currently open to opportunities with a 30-day notice period. However, credibility signals: possible keyword inflation."
CAND_0039754,3,0.7715,"Clear alignment on 11 JD requirements, notably python, retrieval, faiss. Currently open to opportunities with a 30-day notice period. However, credibility signals: possible keyword inflation."
CAND_0046525,4,0.7715,"The profile covers key areas the JD calls for, including retrieval, faiss, elasticsearch. The technical stack includes faiss, hnsw, which aligns with JD needs. The main concern is that credibility signals: possible keyword inflation."
CAND_0008425,5,0.7614,"Well-matched on core JD requirements with skills in python, retrieval, bm25. The technical stack includes bm25, pinecone, which aligns with JD needs."
CAND_0018499,6,0.7568,"Directly relevant skill set spanning retrieval, faiss, dense retrieval and 6 other JD requirements. The career path shows 3 relevant engineering roles, indicating sustained focus. However, credibility signals: possible keyword inflation, low description quality."
CAND_0055905,7,0.7565,"Well-matched on core JD requirements with skills in python, retrieval, vector search. Currently open to opportunities with a 30-day notice period. However, credibility signals: possible keyword inflation."
CAND_0046064,8,0.7529,"Clear alignment on 12 JD requirements, notably python, retrieval, vector search. Background includes experience at a major tech company. However, credibility signals: possible keyword inflation."
CAND_0077337,9,0.7416,"The profile covers key areas the JD calls for, including python, retrieval, bm25. Career history includes clear production deployment evidence over 7 years. A limitation is that credibility signals: low description quality."
CAND_0079387,10,0.7339,"Directly relevant skill set spanning python, retrieval, vector search and 8 other JD requirements. Currently open to opportunities with a 30-day notice period."
CAND_0005649,11,0.7325,"Directly relevant skill set spanning retrieval, faiss, elasticsearch and 7 other JD requirements. The technical stack includes faiss, elasticsearch, which aligns with JD needs."
CAND_0041611,12,0.7283,"Well-matched on core JD requirements with skills in retrieval, faiss, dense retrieval. Career history includes clear production deployment evidence over 6 years."
CAND_0081846,13,0.7251,"Directly relevant skill set spanning python, retrieval, vector search and 10 other JD requirements. Proof-of-work signals are present (shipped (2 signals) · scale (2 signals) · retrieval infra (4 signals) · eval rigor (7 signals)). However, credibility signals: possible keyword inflation."
CAND_0011687,14,0.7245,"Clear alignment on 7 JD requirements, notably retrieval, faiss, production ml. Currently open to opportunities with a 15-day notice period. A limitation is that credibility signals: possible keyword inflation."
CAND_0041669,15,0.7157,"Directly relevant skill set spanning retrieval, faiss, ranking and 4 other JD requirements. Career history includes clear production deployment evidence over 8 years."
CAND_0086022,16,0.7133,"Well-matched on core JD requirements with skills in retrieval, vector search, faiss. Proof-of-work signals are present (shipped (2 signals) · scale (3 signals) · retrieval infra (4 signals) · eval rigor (8 signals)). The main concern is that credibility signals: possible keyword inflation."
CAND_0094759,17,0.7116,"Clear alignment on 10 JD requirements, notably retrieval, vector search, faiss. Career history includes clear production deployment evidence over 9 years. That said, credibility signals: low description quality."
CAND_0044883,18,0.7092,"Clear alignment on 9 JD requirements, notably retrieval, faiss, elasticsearch. Career history includes clear production deployment evidence over 6 years."
CAND_0033861,19,0.7017,"Well-matched on core JD requirements with skills in retrieval, vector search, elasticsearch. Career history includes clear production deployment evidence over 8 years."
CAND_0044855,20,0.7006,"The profile covers key areas the JD calls for, including retrieval, vector search, faiss. The career path shows 3 relevant engineering roles, indicating sustained focus."
CAND_0064326,21,0.6991,"Directly relevant skill set spanning python, retrieval, bm25 and 4 other JD requirements. The technical stack includes bm25, pinecone, which aligns with JD needs. The main concern is that credibility signals: low description quality."
